Time (s),Channel 1 (V),Channel 2 (V)
-2.56,0.012879498,-0.072250466
-2.5596875,0.012879498,-0.092963081
-2.559375,0.013676788,-0.091369803
-2.5590625,0.014474078,-0.083403412
-2.55875,0.016068657,-0.06826727
-2.5584375,0.017663237,-0.050741211
-2.558125,0.020055106,-0.031621874
-2.5578125,0.022446976,-0.014095815
-2.5575,0.027230715,0.002633605
-2.5571875,0.030419874,0.016176468
-2.556875,0.032014454,0.024939498
-2.5565625,0.032014454,0.028922693
-2.55625,0.032811743,0.032109249
-2.5559375,0.032014454,0.032905888
-2.555625,0.032811743,0.032905888
-2.5553125,0.032811743,0.032905888
-2.555,0.032811743,0.032905888
-2.5546875,0.032014454,0.032905888
-2.554375,0.032811743,0.032109249
-2.5540625,0.034406323,0.036889083
-2.55375,0.036798193,0.05600842
-2.5534375,0.036798193,0.069551284
-2.553125,0.043176511,0.107789958
-2.5528125,0.04875754,0.178690833
-2.5525,0.04716296,0.215336229
-2.5521875,0.04796025,0.233658927
-2.551875,0.04716296,0.233658927
-2.5515625,0.04955483,0.240828679
-2.55125,0.04716296,0.23126901
-2.5509375,0.045568381,0.213742951
-2.550625,0.045568381,0.18984378
-2.5503125,0.043973801,0.162758052
-2.55,0.040784642,0.133282408
-2.5496875,0.039190062,0.107789958
-2.549375,0.039190062,0.084687426
-2.5490625,0.037595482,0.06477145
-2.54875,0.036798193,0.046448752
-2.5484375,0.031217164,0.015379829
-2.548125,0.025636135,-0.007722703
-2.5478125,0.024041555,-0.016485733
-2.5475,0.021649686,-0.029231957
-2.5471875,0.018460527,-0.047554655
-2.546875,0.017663237,-0.059504241
-2.5465625,0.016865947,-0.067470631
-2.54625,0.016068657,-0.075437022
-2.5459375,0.016068657,-0.080216856
-2.545625,0.018460527,-0.06906391
-2.5453125,0.018460527,-0.057114324
-2.545,0.019257817,-0.045961377
-2.5446875,0.019257817,-0.039588265
-2.544375,0.024041555,-0.01887565
-2.5440625,0.027230715,-0.00214623
-2.54375,0.024838845,-0.002942869
-2.5434375,0.012879498,-0.054724407
-2.543125,0.012879498,-0.089776525
-2.5428125,0.013676788,-0.09375972
-2.5425,0.014474078,-0.087386608
-2.5421875,0.016068657,-0.072250466
-2.541875,0.016865947,-0.059504241
-2.5415625,0.019257817,-0.037198348
-2.54125,0.021649686,-0.01887565
-2.5409375,0.025636135,-0.002942869
-2.540625,0.030419874,0.011396634
-2.5403125,0.031217164,0.024142859
-2.54,0.032811743,0.028922693
-2.5396875,0.032811743,0.03131261
-2.539375,0.032811743,0.033702527
-2.5390625,0.032811743,0.034499166
-2.53875,0.033609033,0.034499166
-2.5384375,0.032811743,0.034499166
-2.538125,0.032811743,0.034499166
-2.5378125,0.032014454,0.033702527
-2.5375,0.032811743,0.034499166
-2.5371875,0.035203613,0.050431947
-2.536875,0.037595482,0.067958006
-2.5365625,0.039987352,0.086280704
-2.53625,0.04796025,0.159571496
-2.5359375,0.04796025,0.204979922
-2.535625,0.04875754,0.229675732
-2.5353125,0.04796025,0.234455567
-2.535,0.04875754,0.238438762
-2.5346875,0.04796025,0.236845484
-2.534375,0.045568381,0.220912703
-2.5340625,0.04636567,0.200200088
-2.53375,0.045568381,0.172317721
-2.5334375,0.043176511,0.145231993
-2.533125,0.039987352,0.116552988
-2.5328125,0.039987352,0.091857178
-2.5325,0.038392772,0.071144562
-2.5321875,0.037595482,0.053618503
-2.531875,0.033609033,0.027329415
-2.5315625,0.026433425,-0.002942869
-2.53125,0.024838845,-0.014095815
-2.5309375,0.021649686,-0.023655484
-2.530625,0.019257817,-0.041181543
-2.5303125,0.017663237,-0.055521046
-2.53,0.017663237,-0.065877353
-2.5296875,0.016865947,-0.072250466
-2.529375,0.016068657,-0.081810134
-2.5290625,0.017663237,-0.073047105
-2.52875,0.018460527,-0.061894158
-2.5284375,0.019257817,-0.049944572
-2.528125,0.019257817,-0.041978182
-2.5278125,0.022446976,-0.027638679
-2.5275,0.027230715,-0.006129425
-2.5271875,0.028825294,0.003430244
-2.526875,0.016865947,-0.036401709
-2.5265625,0.012879498,-0.083403412
-2.52625,0.013676788,-0.09375972
-2.5259375,0.014474078,-0.090573164
-2.525625,0.015271367,-0.079420217
-2.5253125,0.016865947,-0.065877353
-2.525,0.019257817,-0.045164738
-2.5246875,0.020852396,-0.025248762
-2.524375,0.024041555,-0.008519342
-2.5240625,0.028825294,0.0066168
-2.52375,0.032014454,0.019363024
-2.5234375,0.032811743,0.027329415
-2.523125,0.032014454,0.03131261
-2.5228125,0.032014454,0.032905888
-2.5225,0.032811743,0.033702527
-2.5221875,0.032811743,0.034499166
-2.521875,0.032014454,0.034499166
-2.5215625,0.032014454,0.033702527
-2.52125,0.032811743,0.033702527
-2.5209375,0.032811743,0.032109249
-2.520625,0.035203613,0.042465557
-2.5203125,0.036798193,0.062381533
-2.52,0.038392772,0.073534479
-2.5196875,0.044771091,0.130892491
-2.519375,0.04875754,0.192233697
-2.5190625,0.04716296,0.224099259
-2.51875,0.04796025,0.235252206
-2.5184375,0.04796025,0.235252206
-2.518125,0.04796025,0.239235401
-2.5178125,0.045568381,0.225692537
-2.5175,0.045568381,0.208166478
-2.5171875,0.045568381,0.18187739
-2.516875,0.043176511,0.15638494
-2.5165625,0.039987352,0.126112656
-2.51625,0.039190062,0.100620207
-2.5159375,0.038392772,0.077517675
-2.515625,0.037595482,0.058398338
-2.5153125,0.036000903,0.038482362
-2.515,0.028825294,0.005820161
-2.5146875,0.024838845,-0.011705898
-2.514375,0.023244266,-0.019672289
-2.5140625,0.020852396,-0.03560507
-2.51375,0.018460527,-0.05233449
-2.5134375,0.017663237,-0.063487436
-2.513125,0.016865947,-0.069860549
-2.5128125,0.014474078,-0.078623578
-2.5125,0.016865947,-0.077826939
-2.5121875,0.018460527,-0.065080714
-2.511875,0.019257817,-0.053927768
-2.5115625,0.019257817,-0.045164738
-2.51125,0.020852396,-0.036401709
-2.5109375,0.025636135,-0.013299176
-2.510625,0.028825294,0.001836965
-2.5103125,0.020852396,-0.016485733
-2.51,0.012082208,-0.070657188
-2.5096875,0.012879498,-0.092166442
-2.509375,0.013676788,-0.092166442
-2.5090625,0.014474078,-0.085793329
-2.50875,0.016068657,-0.069860549
-2.5084375,0.017663237,-0.053131129
-2.508125,0.020055106,-0.032418513
-2.5078125,0.023244266,-0.014892454
-2.5075,0.028028005,0.001836965
-2.5071875,0.031217164,0.016176468
-2.506875,0.032014454,0.024939498
-2.5065625,0.032811743,0.029719332
-2.50625,0.032811743,0.032109249
-2.5059375,0.033609033,0.033702527
-2.505625,0.033609033,0.034499166
-2.5053125,0.033609033,0.033702527
-2.505,0.032811743,0.033702527
-2.5046875,0.032811743,0.033702527
-2.504375,0.032811743,0.032109249
-2.5040625,0.034406323,0.036889083
-2.50375,0.036798193,0.05680506
-2.5034375,0.037595482,0.071144562
-2.503125,0.043176511,0.103806763
-2.5028125,0.04955483,0.177097555
-2.5025,0.04796025,0.216132868
-2.5021875,0.04875754,0.234455567
-2.501875,0.04796025,0.233658927
-2.5015625,0.050352119,0.242421957
-2.50125,0.04716296,0.232862288
-2.5009375,0.04636567,0.216929508
-2.500625,0.04636567,0.193030336
-2.5003125,0.044771091,0.166741248
-2.5,0.042379221,0.136468964
-2.4996875,0.039987352,0.109383236
-2.499375,0.039987352,0.086280704
-2.4990625,0.038392772,0.065568089
-2.49875,0.036798193,0.04804203
-2.4984375,0.032014454,0.016973107
-2.498125,0.026433425,-0.007722703
-2.4978125,0.024041555,-0.016485733
-2.4975,0.020852396,-0.029231957
-2.4971875,0.019257817,-0.046758016
-2.496875,0.018460527,-0.058707602
-2.4965625,0.018460527,-0.067470631
-2.49625,0.016865947,-0.075437022
-2.4959375,0.016865947,-0.081013495
-2.495625,0.018460527,-0.070657188
-2.4953125,0.019257817,-0.059504241
-2.495,0.019257817,-0.048351294
-2.4946875,0.020055106,-0.041181543
-2.494375,0.024041555,-0.021265567
-2.4940625,0.028028005,-0.00214623
-2.49375,0.027230715,-0.00214623
-2.4934375,0.014474078,-0.053131129
-2.493125,0.012879498,-0.091369803
-2.4928125,0.014474078,-0.09375972
-2.4925,0.015271367,-0.088979886
-2.4921875,0.016068657,-0.074640383
-2.491875,0.017663237,-0.06030088
-2.4915625,0.020055106,-0.038791626
-2.49125,0.022446976,-0.019672289
-2.4909375,0.027230715,-0.003739508
-2.490625,0.031217164,0.010599995
-2.4903125,0.034406323,0.022549581
-2.49,0.033609033,0.027329415
-2.4896875,0.033609033,0.03131261
-2.489375,0.034406323,0.032905888
-2.4890625,0.033609033,0.034499166
-2.48875,0.033609033,0.032905888
-2.4884375,0.033609033,0.032905888
-2.488125,0.033609033,0.032905888
-2.4878125,0.033609033,0.032905888
-2.4875,0.033609033,0.032905888
-2.4871875,0.036000903,0.048838669
-2.486875,0.037595482,0.066364728
-2.4865625,0.039987352,0.083890787
-2.48625,0.04875754,0.15638494
-2.4859375,0.04955483,0.204979922
-2.485625,0.04955483,0.229675732
-2.4853125,0.04875754,0.236048845
-2.485,0.04955483,0.24003204
-2.4846875,0.04875754,0.239235401
-2.484375,0.04636567,0.221709342
-2.4840625,0.04636567,0.203386644
-2.48375,0.045568381,0.174707638
-2.4834375,0.043176511,0.14841855
-2.483125,0.040784642,0.118146266
-2.4828125,0.039987352,0.093450456
-2.4825,0.039190062,0.071941201
-2.4821875,0.038392772,0.054415142
-2.481875,0.034406323,0.028922693
-2.4815625,0.028028005,-0.001349591
-2.48125,0.025636135,-0.014892454
-2.4809375,0.022446976,-0.024452123
-2.480625,0.020852396,-0.041181543
-2.4803125,0.020055106,-0.055521046
-2.48,0.019257817,-0.066673992
-2.4796875,0.017663237,-0.072250466
-2.479375,0.016865947,-0.082606773
-2.4790625,0.017663237,-0.075437022
-2.47875,0.019257817,-0.062690797
-2.4784375,0.019257817,-0.051537851
-2.478125,0.020055106,-0.04357146
-2.4778125,0.023244266,-0.029231957
-2.4775,0.027230715,-0.006926064
-2.4771875,0.030419874,0.003430244
-2.476875,0.017663237,-0.033215153
-2.4765625,0.012879498,-0.082606773
-2.47625,0.013676788,-0.095352998
-2.4759375,0.014474078,-0.091369803
-2.475625,0.016068657,-0.081013495
-2.4753125,0.017663237,-0.065877353
-2.475,0.019257817,-0.047554655
-2.4746875,0.020852396,-0.02684204
-2.474375,0.024838845,-0.01011262
-2.4740625,0.029622584,0.005820161
-2.47375,0.032014454,0.018566385
-2.4734375,0.032811743,0.026532776
-2.473125,0.032811743,0.030515971
-2.4728125,0.033609033,0.032109249
-2.4725,0.032811743,0.032905888
-2.4721875,0.033609033,0.033702527
-2.471875,0.033609033,0.033702527
-2.4715625,0.032014454,0.033702527
-2.47125,0.032811743,0.033702527
-2.4709375,0.033609033,0.032905888
-2.470625,0.036000903,0.041668918
-2.4703125,0.037595482,0.061584894
-2.47,0.038392772,0.073534479
-2.4696875,0.045568381,0.130892491
-2.469375,0.04955483,0.192233697
-2.4690625,0.04955483,0.224099259
-2.46875,0.04955483,0.237642123
-2.4684375,0.04875754,0.237642123
-2.468125,0.04955483,0.242421957
-2.4678125,0.04796025,0.228082454
-2.4675,0.04636567,0.210556395
-2.4671875,0.04636567,0.185860585
-2.466875,0.043973801,0.157978218
-2.4665625,0.041581931,0.127705935
-2.46625,0.039987352,0.102213485
-2.4659375,0.039987352,0.079907592
-2.465625,0.038392772,0.060788255
-2.4653125,0.036000903,0.04007564
-2.465,0.030419874,0.008210078
-2.4646875,0.026433425,-0.010909259
-2.464375,0.024838845,-0.019672289
-2.4640625,0.020852396,-0.03560507
-2.46375,0.019257817,-0.05233449
-2.4634375,0.018460527,-0.063487436
-2.463125,0.017663237,-0.070657188
-2.4628125,0.016068657,-0.080216856
-2.4625,0.016865947,-0.081013495
-2.4621875,0.020055106,-0.067470631
-2.461875,0.020055106,-0.056317685
-2.4615625,0.020055106,-0.045961377
-2.46125,0.021649686,-0.037198348
-2.4609375,0.026433425,-0.014095815
-2.460625,0.029622584,0.000243687
-2.4603125,0.023244266,-0.014095815
-2.46,0.013676788,-0.06906391
-2.4596875,0.013676788,-0.095352998
-2.459375,0.014474078,-0.09375972
-2.4590625,0.014474078,-0.085793329
-2.45875,0.016865947,-0.071453827
-2.4584375,0.018460527,-0.054724407
-2.458125,0.020055106,-0.034011792
-2.4578125,0.023244266,-0.015689094
-2.4575,0.027230715,0.000243687
-2.4571875,0.030419874,0.013786551
-2.456875,0.032811743,0.024939498
-2.4565625,0.032811743,0.028922693
-2.45625,0.032811743,0.03131261
-2.4559375,0.033609033,0.032905888
-2.455625,0.033609033,0.032905888
-2.4553125,0.033609033,0.033702527
-2.455,0.033609033,0.033702527
-2.4546875,0.032811743,0.033702527
-2.454375,0.032811743,0.032109249
-2.4540625,0.033609033,0.036092444
-2.45375,0.036000903,0.054415142
-2.4534375,0.036798193,0.070347923
-2.453125,0.042379221,0.102213485
-2.4528125,0.04875754,0.176300916
-2.4525,0.04796025,0.21453959
-2.4521875,0.04955483,0.234455567
-2.451875,0.04796025,0.235252206
-2.4515625,0.04955483,0.243218596
-2.45125,0.04875754,0.235252206
-2.4509375,0.04636567,0.217726147
-2.450625,0.04636567,0.195420253
-2.4503125,0.044771091,0.168334526
-2.45,0.042379221,0.13965552
-2.4496875,0.039987352,0.110976515
-2.449375,0.039987352,0.087077343
-2.4490625,0.038392772,0.066364728
-2.44875,0.037595482,0.048838669
-2.4484375,0.031217164,0.018566385
-2.448125,0.026433425,-0.007722703
-2.4478125,0.024838845,-0.016485733
-2.4475,0.022446976,-0.029231957
