Time (s),Channel 1 (V),Channel 2 (V)
-2.56,0.020852396,-0.059504241
-2.5596875,0.019257817,-0.067470631
-2.559375,0.019257817,-0.074640383
-2.5590625,0.021649686,-0.065877353
-2.55875,0.021649686,-0.053927768
-2.5584375,0.021649686,-0.04357146
-2.558125,0.022446976,-0.036401709
-2.5578125,0.027230715,-0.01887565
-2.5575,0.031217164,-0.00214623
-2.5571875,0.030419874,0.002633605
-2.556875,0.016865947,-0.041978182
-2.5565625,0.014474078,-0.080216856
-2.55625,0.016068657,-0.086589969
-2.5559375,0.016865947,-0.082606773
-2.555625,0.018460527,-0.069860549
-2.5553125,0.020055106,-0.058707602
-2.555,0.022446976,-0.037198348
-2.5546875,0.024838845,-0.01887565
-2.554375,0.028825294,-0.003739508
-2.5540625,0.032811743,0.010599995
-2.55375,0.035203613,0.021752942
-2.5534375,0.035203613,0.027329415
-2.553125,0.035203613,0.029719332
-2.5528125,0.036000903,0.032109249
-2.5525,0.036798193,0.032905888
-2.5521875,0.036798193,0.032905888
-2.551875,0.036798193,0.032905888
-2.5515625,0.036798193,0.032905888
-2.55125,0.036798193,0.032905888
-2.5509375,0.036798193,0.032905888
-2.550625,0.039190062,0.045652113
-2.5503125,0.041581931,0.063178172
-2.55,0.042379221,0.077517675
-2.5496875,0.051149409,0.142842076
-2.549375,0.053541279,0.192233697
-2.5490625,0.051946699,0.219319425
-2.54875,0.051149409,0.224895898
-2.5484375,0.051946699,0.228082454
-2.548125,0.051149409,0.229675732
-2.5478125,0.04955483,0.213742951
-2.5475,0.050352119,0.195420253
-2.5471875,0.04875754,0.169927804
-2.546875,0.04636567,0.147621911
-2.5465625,0.043176511,0.118146266
-2.54625,0.042379221,0.094247095
-2.5459375,0.040784642,0.074331119
-2.545625,0.039987352,0.05680506
-2.5453125,0.036798193,0.034499166
-2.545,0.031217164,0.005023522
-2.5446875,0.028028005,-0.007722703
-2.544375,0.026433425,-0.016485733
-2.5440625,0.022446976,-0.032418513
-2.54375,0.020852396,-0.046758016
-2.5434375,0.020852396,-0.057910963
-2.543125,0.020055106,-0.064284075
-2.5428125,0.018460527,-0.074640383
-2.5425,0.020055106,-0.06906391
-2.5421875,0.020852396,-0.057114324
-2.541875,0.021649686,-0.046758016
-2.5415625,0.022446976,-0.038791626
-2.54125,0.024838845,-0.02684204
-2.5409375,0.030419874,-0.006129425
-2.540625,0.032014454,0.005820161
-2.5403125,0.020852396,-0.023655484
-2.54,0.014474078,-0.071453827
-2.5396875,0.015271367,-0.086589969
-2.539375,0.016068657,-0.084200051
-2.5390625,0.018460527,-0.074640383
-2.53875,0.019257817,-0.062690797
-2.5384375,0.021649686,-0.04357146
-2.538125,0.024041555,-0.025248762
-2.5378125,0.028028005,-0.009315981
-2.5375,0.031217164,0.005820161
-2.5371875,0.034406323,0.018566385
-2.536875,0.035203613,0.026532776
-2.5365625,0.036000903,0.028922693
-2.53625,0.036798193,0.032109249
-2.5359375,0.036798193,0.032905888
-2.535625,0.036000903,0.033702527
-2.5353125,0.036798193,0.033702527
-2.535,0.036798193,0.033702527
-2.5346875,0.036000903,0.032905888
-2.534375,0.036000903,0.032905888
-2.5340625,0.038392772,0.039279001
-2.53375,0.039987352,0.058398338
-2.5334375,0.039987352,0.070347923
