Time (s),C1 DC (V),C2 DC (V)
0,4.932120392,4.89122155
0.2,4.932362537,4.891141468
0.4,4.930968399,4.891463206
0.6,4.930434326,4.891199669
0.8,4.930245612,4.891317434
1,4.930465616,4.890154275
1.2,4.926960782,4.890427682
1.4,4.932183799,4.891245424
1.6,4.933207517,4.890778789
1.8,4.930511165,4.888300718
2,4.931926617,4.890115814
2.2,4.932633005,4.890409011
2.4,4.933198368,4.890866213
2.6,4.928274188,4.8895849
2.8,4.928978678,4.888149647
3,4.928958532,4.888338498
3.2,4.92827886,4.888980079
3.4,4.933126055,4.891164418
3.6,4.926036774,4.888914729
3.8,4.930410481,4.890940995
4,4.929454794,4.891877911
4.2,4.92808635,4.891169961
4.4,4.929436157,4.891459413
4.6,4.930011642,4.891094206
4.8,4.934747107,4.891184061
5,4.948368529,4.891450224
5.2,4.978530017,4.892123506
5.4,5.016062347,4.891404858
5.6,5.066495892,4.892528487
5.8,4.921585256,4.893537511
6,4.65735035,4.884544009
6.2,4.756774249,4.886572754
6.4,4.735589717,4.884987353
6.6,4.725322032,4.883034703
6.8,4.739706096,4.884274346
7,4.702820346,4.883536978
7.2,4.746103685,4.891222328
7.4,4.770667452,4.889362693
7.6,4.748454969,4.888032562
7.8,4.794707949,4.893612342
8,4.773143119,4.887726383
8.2,4.737307997,4.885501201
8.4,4.749929352,4.888447268
8.6,4.712334295,4.884640039
8.8,4.71916289,4.886751833
9,4.724498804,4.886168114
9.2,4.691295995,4.882960261
9.4,4.720452646,4.88581832
9.6,4.705486868,4.883118529
9.8,4.681139942,4.880242527
10,4.681020816,4.883466232
10.2,4.666044721,4.879962362
10.4,4.671498448,4.877872254
10.6,4.658209003,4.877524259
10.8,4.656034218,4.878090863
11,4.68157557,4.882954669
11.2,4.700880846,4.883080068
11.4,4.671318931,4.880334182
11.6,4.657587629,4.880341427
11.8,4.637975243,4.880650231
12,4.666458938,4.881903683
12.2,4.685298219,4.883104768
12.4,4.684459469,4.881860409
12.6,4.63638845,4.881848982
12.8,4.67624496,4.884691191
13,4.688442949,4.886163932
13.2,4.686394882,4.885409887
13.4,4.696129759,4.882677907
13.6,4.694999325,4.886901932
13.8,4.69741718,4.886911997
14,4.69080275,4.888834258
14.2,4.707371916,4.886023995
14.4,4.678542667,4.886363724
14.6,4.68949202,4.886096541
14.8,4.681228265,4.884528838
15,4.701053452,4.884461836
15.2,4.682221617,4.884418707
15.4,4.689483893,4.884782407
15.6,4.679858458,4.885883718
15.8,4.697934659,4.885037921
16,4.683277938,4.884476909
16.2,4.683017495,4.885164146
16.4,4.683145429,4.884446568
16.6,4.692065109,4.882440578
16.8,4.689833924,4.882994978
17,4.686391329,4.886043542
17.2,4.689558104,4.886275279
17.4,4.697192164,4.884123906
17.6,4.677178895,4.882466251
17.8,4.682183708,4.88429326
18,4.691417117,4.88746309
18.2,4.686744669,4.887590142
18.4,4.702979376,4.886465881
18.6,4.687263414,4.884861322
18.8,4.688922763,4.884223583
19,4.684435672,4.883966368
19.2,4.693984123,4.882681505
19.4,4.679513926,4.884393423
19.6,4.685749858,4.884652292
19.8,4.6840362,4.884598856
20,4.686435661,4.881962809
20.2,4.68654452,4.884544301
20.4,4.695509602,4.884745794
20.6,4.689345886,4.884109368
20.8,4.679837338,4.884586797
21,4.682646247,4.885154276
21.2,4.693906165,4.886625851
21.4,4.700851356,4.889211086
21.6,4.686561211,4.885613812
21.8,4.683423731,4.882016245
22,4.699826763,4.88335717
22.2,4.696792059,4.884542745
22.4,4.691764179,4.884395222
22.6,4.66103908,4.881149152
22.8,4.680680371,4.881768949
23,4.654156859,4.883109388
23.2,4.652239889,4.884426341
23.4,4.64761372,4.884638775
23.6,4.647391818,4.884949379
23.8,4.646218901,4.88405987
24,4.64601189,4.883862509
24.2,4.646414476,4.883974245
24.4,4.646417153,4.885099721
24.6,4.646011987,4.885060045
24.8,4.646779739,4.885623682
25,4.646496376,4.884167667
25.2,4.644796587,4.882420789
25.4,4.64862026,4.883107005
25.6,4.645751447,4.882854457
25.8,4.644551425,4.881644425
26,4.646021233,4.881794379
26.2,4.646714239,4.8821026
26.4,4.63994949,4.881275231
26.6,4.647719464,4.884142237
26.8,4.660708417,4.884887579
27,4.665628898,4.884861128
27.2,4.642092644,4.884680931
27.4,4.64081734,4.887095111
27.6,4.677042104,4.884807108
27.8,4.692139028,4.884190909
28,4.634587492,4.883022109
28.2,4.675202751,4.884270164
28.4,4.61879435,4.883382162
28.6,4.638207608,4.882212974
28.8,4.645420833,4.882293931
29,4.668492553,4.885075555
29.2,4.687236552,4.885051438
29.4,4.675730449,4.88549313
29.6,4.681912316,4.884749149
29.8,4.682116797,4.884366486
30,4.658603122,4.883954163
30.2,4.659867185,4.883086194
30.4,4.688291559,4.882431534
30.6,4.644235847,4.883479895
30.8,4.633540222,4.883232306
31,4.624924489,4.883098642
31.2,4.607151895,4.882062924
31.4,4.559361952,4.884112626
31.6,4.484480846,4.886612917
31.8,4.721591208,4.88874309
32,4.915537065,4.8914334
32.2,4.924571151,4.888236973
32.4,4.926281451,4.888896155
32.6,4.926704427,4.888432049
