Time (s),Channel 1 (V),Channel 2 (V)
-0.00032768,2.062373654,-0.000931598
-0.00032764,2.103832725,-0.002206221
-0.0003276,2.142102636,-0.000533279
-0.00032756,2.190737315,-0.00117059
-0.00032752,2.222628907,-0.000612942
-0.00032748,2.248939471,-0.001090926
-0.00032744,2.288006672,2.44E-05
-0.0003274,2.311128077,-0.00077227
-0.00032736,2.345411539,-0.00077227
-0.00032732,2.377303132,-0.001329918
-0.00032728,2.413978463,-0.001568909
-0.00032724,2.442680897,-0.001250254
-0.0003272,2.480153518,-0.000931598
-0.00032716,2.525599038,-0.000692606
-0.00032712,2.55908521,0.000104033
-0.00032708,2.60054428,-0.001250254
-0.00032704,2.638814192,-0.001807901
-0.000327,2.680273262,-0.000692606
-0.00032696,2.727313361,-0.000453615
-0.00032692,2.753623925,-0.001807901
-0.00032688,2.790299257,-0.001409582
-0.00032684,2.830961037,-0.001090926
-0.0003268,2.866041789,-0.002524876
-0.00032676,2.919460207,-0.001648573
-0.00032672,2.95055451,-0.000214623
-0.00032668,2.99281087,-0.00117059
-0.00032664,3.023107883,-0.001409582
-0.0003266,3.047026578,-0.000851934
-0.00032656,3.08051275,-0.001568909
-0.00032652,3.113998922,-0.000453615
-0.00032648,3.153863413,-0.000214623
-0.00032644,3.184957716,-0.00077227
-0.0003264,3.21206557,0.000502352
-0.00032636,3.251132771,-0.000692606
-0.00032632,3.277443335,-0.000453615
-0.00032628,3.303753899,-0.000692606
-0.00032624,3.34042923,-0.000851934
-0.0003262,3.373118113,-0.001090926
-0.00032616,3.403415126,-0.001648573
-0.00032612,3.437698588,-0.001409582
-0.00032608,3.491914295,-0.00117059
-0.00032604,3.51583299,-0.000851934
-0.000326,3.564467669,-0.00077227
-0.00032596,3.60353487,-0.001250254
-0.00032592,3.64419665,-0.000373951
-0.00032588,3.699209648,-0.000453615
-0.00032584,3.743060588,-0.000612942
-0.0003258,3.77734405,0.000183697
-0.00032576,3.835546206,-0.000931598
-0.00032572,3.871424248,-0.000533279
-0.00032568,3.90809958,-0.000931598
-0.00032564,3.942383042,-0.001250254
-0.0003256,3.985436692,-0.00077227
-0.00032556,4.014936415,-0.000533279
-0.00032552,4.052409037,-0.001489245
-0.00032548,4.113003063,-0.000294287
-0.00032544,4.149678394,-0.001090926
-0.0003254,4.183164567,-0.001568909
-0.00032536,4.223029057,-0.000612942
-0.00032532,4.247745042,-0.000373951
-0.00032528,4.293987851,-0.000373951
-0.00032524,4.347406269,-0.000931598
-0.0003252,4.38487889,-0.000533279
-0.00032516,4.425540671,-0.000134959
-0.00032512,4.466999741,-0.000373951
-0.00032508,4.520418159,-0.000373951
-0.00032504,4.55789078,-0.000851934
-0.000325,4.596160692,-0.000134959
-0.00032496,4.650376399,-0.001329918
-0.00032492,4.679078833,-0.000453615
-0.00032488,4.719740613,-0.000373951
-0.00032484,4.755618655,-0.00077227
-0.0003248,4.797875015,-0.000612942
-0.00032476,4.826577449,-0.00117059
-0.00032472,4.869631099,-0.001090926
-0.00032468,4.911090169,-0.001728237
-0.00032464,4.948562791,-0.000373951
-0.0003246,4.99400831,-0.000373951
-0.00032456,5.029089062,0.000582016
-0.00032452,5.059386075,-0.000931598
-0.00032448,5.109615334,-0.000692606
-0.00032444,5.158250012,-0.001967229
-0.0003244,5.180574127,-0.000851934
-0.00032436,5.231600676,-0.000533279
-0.00032432,5.274654326,0.000582016
-0.00032428,5.320099845,-0.001011262
-0.00032424,5.364748075,2.44E-05
-0.0003242,5.394247798,0.000582016
-0.00032416,5.432517709,0.00066168
-0.00032412,5.484341547,0.000821008
-0.00032408,5.510652111,0.00026336
-0.00032404,5.56008408,0.001458319
-0.000324,5.595962122,0.000104033
-0.00032396,5.627853714,-0.000134959
-0.00032392,5.670907365,-0.000453615
-0.00032388,5.721136623,2.44E-05
-0.00032384,5.756217375,0.001298991
-0.0003238,5.790500837,-0.000294287
-0.00032376,5.825581589,-0.000214623
-0.00032372,5.873418978,-0.000373951
-0.00032368,5.900526832,0.000422688
-0.00032364,5.943580482,0.00066168
-0.0003236,5.990620581,-0.000533279
-0.00032356,6.022512174,0.00066168
-0.00032352,6.071944142,0.000821008
-0.00032348,6.111011343,-0.000294287
-0.00032344,6.157254153,0.000183697
-0.0003234,6.189943035,-0.000453615
-0.00032336,6.232199396,-0.000294287
-0.00032332,6.268874727,0.000343024
-0.00032328,6.29837445,-0.00117059
-0.00032324,6.347009129,-0.001011262
-0.0003232,6.392454649,0.000183697
-0.00032316,6.425143531,0.001059999
-0.00032312,6.461021573,-0.000533279
-0.00032308,6.507264382,0.000741344
-0.00032304,6.548723453,-0.001090926
-0.000323,6.579020466,-0.001489245
-0.00032296,6.601344581,-0.000373951
-0.00032292,6.665925056,0.000900672
-0.00032288,6.704992257,0.000741344
-0.00032284,6.741667588,-0.000851934
-0.0003228,6.774356471,-0.000294287
-0.00032276,6.82059928,0.000422688
-0.00032272,6.862058351,0.000343024
-0.00032268,6.897139103,0.001059999
-0.00032264,6.940990043,0.000821008
-0.0003226,6.967300607,0.000900672
-0.00032256,7.010354257,0.000741344
-0.00032252,7.064569964,0.000422688
-0.00032248,7.097258847,-0.000294287
-0.00032244,7.12755586,0.00026336
-0.0003224,7.161839322,0.001139663
-0.00032236,7.201703813,-0.000373951
-0.00032232,7.243162883,0.000980336
-0.00032228,7.283824664,0.000900672
-0.00032224,7.322891865,0.001298991
-0.0003222,7.355580747,-0.000294287
-0.00032216,7.407404585,0.00066168
-0.00032212,7.444877207,0.00066168
-0.00032208,7.480755249,-0.000294287
-0.00032204,7.51822787,0.001139663
-0.000322,7.558889651,0.000422688
-0.00032196,7.590781243,0.000422688
-0.00032192,7.630645734,-0.000851934
-0.00032188,7.662537327,0.00066168
-0.00032184,7.724725932,0.000502352
-0.0003218,7.758212105,0.000502352
-0.00032176,7.773360611,0.000900672
-0.00032172,7.819603421,2.44E-05
-0.00032168,7.86425165,0.000104033
-0.00032164,7.890562214,0.000104033
-0.0003216,7.922453807,-0.000453615
-0.00032156,7.968696616,0.000422688
-0.00032152,8.012547556,-0.000373951
-0.00032148,8.043641859,0.000183697
-0.00032144,8.08510093,0.00026336
-0.0003214,8.124168131,0.001059999
-0.00032136,8.160843462,0.000104033
-0.00032132,8.206288982,0.000183697
-0.00032128,8.242167023,0.000422688
-0.00032124,8.286017963,0.00066168
-0.0003212,8.325085164,0.000900672
-0.00032116,8.360165916,0.000422688
-0.00032112,8.401624987,-0.000294287
-0.00032108,8.43271929,0.001139663
-0.00032104,8.47577294,0.000422688
-0.000321,8.514840141,0.001298991
-0.00032096,8.546731733,0.000741344
-0.00032092,8.581015196,0.000422688
-0.00032088,8.60573118,0.000183697
-0.00032084,8.653568569,0.00026336
-0.0003208,8.6902439,-0.000214623
-0.00032076,8.729311102,2.44E-05
-0.00032072,8.756418955,-0.000134959
-0.00032068,8.806648214,0.000502352
-0.00032064,8.844120835,0.000741344
-0.0003206,8.891160934,0.000821008
-0.00032056,8.923849817,-0.000453615
-0.00032052,8.95414683,0.00066168
-0.00032048,8.993214031,-0.000373951
-0.00032044,9.033078522,-0.000373951
-0.0003204,9.055402637,0.000422688
-0.00032036,9.097658997,0.000422688
-0.00032032,9.139915357,0.000104033
-0.00032028,9.17100966,0.000422688
-0.00032024,9.201306673,0.000343024
-0.0003202,9.239576584,0.000582016
-0.00032016,9.275454626,0.001219327
-0.00032012,9.315319117,0.001219327
-0.00032008,9.359170057,-0.000533279
-0.00032004,9.385480621,-0.000453615
-0.00032,9.420561373,-0.000134959
-0.00031996,9.452452965,-0.000533279
-0.00031992,9.500290354,0.000502352
-0.00031988,9.540952135,0.000422688
-0.00031984,9.571249148,0.000502352
-0.0003198,9.603140741,0.001298991
-0.00031976,9.638221493,0.000741344
-0.00031972,9.670910375,0.001378655
-0.00031968,9.707585707,0.000741344
-0.00031964,9.763395994,0.001139663
-0.0003196,9.792098427,0.001537983
-0.00031956,9.827179179,0.001139663
-0.00031952,9.847111425,0.000980336
-0.00031948,9.884584046,0.001059999
-0.00031944,9.919664798,-0.000134959
-0.0003194,9.95554284,0.000183697
