Time (s),Channel 1 (V),Channel 2 (V)
-0.00032768,5.366680617,0.000343024
-0.00032764,5.393788471,0.001139663
-0.0003276,5.408936978,0.001458319
-0.00032756,5.401761369,0.00066168
-0.00032752,5.415315296,0.001059999
-0.00032748,5.430463803,0.000582016
-0.00032744,5.432058382,0.001856639
-0.0003274,5.447206889,0.001537983
-0.00032736,5.446409599,0.000422688
-0.00032732,5.451193338,0.000741344
-0.00032728,5.461558106,0.000104033
-0.00032724,5.459963526,0.001059999
-0.0003272,5.451990628,0.00066168
-0.00032716,5.479098482,0.000422688
-0.00032712,5.476706612,0.000980336
-0.00032708,5.4854768,0.000741344
-0.00032704,5.481490351,0.000502352
-0.000327,5.482287641,0.001856639
-0.00032696,5.493449698,0.000422688
-0.00032692,5.488665959,0.001059999
-0.00032688,5.495044278,0.001219327
-0.00032684,5.493449698,0.000343024
-0.0003268,5.495044278,0.000502352
-0.00032676,5.495044278,0.000183697
-0.00032672,5.494246988,0.000183697
-0.00032668,5.489463249,0.000104033
-0.00032664,5.494246988,0.000104033
-0.0003266,5.490260539,0.000422688
-0.00032656,5.48707138,0.000183697
-0.00032652,5.500625307,-0.000294287
-0.00032648,5.48707138,-0.000453615
-0.00032644,5.48388222,0.000343024
-0.0003264,5.491855119,0.001856639
-0.00032636,5.493449698,0.000343024
-0.00032632,5.48467951,0.000582016
-0.00032628,5.496638858,0.001139663
-0.00032624,5.479098482,0.000900672
-0.0003262,5.48707138,0.000183697
-0.00032616,5.475112032,0.000821008
-0.00032612,5.494246988,0.000741344
-0.00032608,5.470328294,0.000900672
-0.00032604,5.475112032,0.000422688
-0.000326,5.480693061,0.000502352
-0.00032596,5.474314743,0.001537983
-0.00032592,5.471922873,0.000980336
-0.00032588,5.471125583,0.000502352
-0.00032584,5.462355395,0.001059999
-0.0003258,5.459166236,0.00066168
-0.00032576,5.455977077,0.00066168
-0.00032572,5.450396048,0.001139663
-0.00032568,5.44322044,0.001298991
-0.00032564,5.44082857,0.001298991
-0.0003256,5.432855672,0.001458319
-0.00032556,5.413720717,0.000104033
-0.00032552,5.385018283,0.000582016
-0.00032548,5.377045385,0.000821008
-0.00032544,5.364288748,-0.000453615
-0.0003254,5.346748372,0.000900672
-0.00032536,5.319640518,0.000741344
-0.00032532,5.299708273,0.000741344
-0.00032528,5.286154346,0.001617647
-0.00032524,5.260641072,0.001697311
-0.0003252,5.235127798,0.001298991
-0.00032516,5.215992842,0.001537983
-0.00032512,5.196857886,0.000900672
-0.00032508,5.164966294,0.001378655
-0.00032504,5.148223208,0.001378655
-0.000325,5.133074701,0.002175294
-0.00032496,5.101980398,0.000582016
-0.00032492,5.086034602,-0.000134959
-0.00032488,5.061318618,0.001697311
-0.00032484,5.038994503,0.00066168
-0.0003248,5.019062257,0.001697311
-0.00032476,5.010292069,0.001139663
-0.00032472,4.979995056,0.001139663
-0.00032468,4.96245468,0.001617647
-0.00032464,4.939333276,0.000821008
-0.0003246,4.917009161,0.00026336
-0.00032456,4.897076915,0.00026336
-0.00032452,4.880333829,0.001537983
-0.00032448,4.849239526,-0.000134959
-0.00032444,4.830901861,0.001219327
-0.0003244,4.820537093,0.001219327
-0.00032436,4.792631949,0.000502352
-0.00032432,4.763929516,-0.000214623
-0.00032428,4.748781009,0.000582016
-0.00032424,4.739213532,0.000741344
-0.0003242,4.714497547,0.000582016
-0.00032416,4.692970722,-0.000214623
-0.00032412,4.674633056,-0.000533279
-0.00032408,4.645133333,0.00066168
-0.00032404,4.629187537,0.000741344
-0.000324,4.611647161,0.00066168
-0.00032396,4.582944728,2.44E-05
-0.00032392,4.57417454,0.001059999
-0.00032388,4.560620613,2.44E-05
-0.00032384,4.52793173,0.001776975
-0.0003238,4.512783224,0.000422688
-0.00032376,4.488067239,0.000343024
-0.00032372,4.464148545,-0.000214623
-0.00032368,4.452189198,0.000900672
-0.00032364,4.432256952,0.000183697
-0.0003236,4.401959939,0.000104033
-0.00032356,4.387608722,-0.000373951
-0.00032352,4.367676477,2.44E-05
-0.00032348,4.335784884,0.000582016
