#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery3
#Serial Number: SN:210415BB05B2
#Date Time: 2026-03-11 14:46:53.845
#Start: 0.5 Hz
#Stop: 150 Hz
#Steps: 75
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.22512 V
#Offset: 6.74429e-05 V
#Relative: no
#Channel: Channel 2
#Range: 5.22085 V
#Offset: -2.43687e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
0.5000000000000003,-20.39139196067567,-12.60667962378502,-16.86604130065315
0.5400632379256926,-20.3920010686177,-12.99793445657674,-18.05989121387422
0.5833366019175661,-20.3931993181332,-13.41530499640041,-19.01722150345399
0.6300773080643434,-20.39548530330206,-13.79741856087684,-20.05458193948974
0.6805631822734662,-20.39264901997381,-14.23542251123869,-21.20538392504395
0.7350943116632432,-20.39466871713093,-14.67463452739845,-22.08317555356177
0.7939948282752189,-20.4006503371631,-15.20378080536694,-23.10357897412622
0.8576148357091375,-20.39324396812489,-15.65014664657769,-23.86426694004725
0.9263324901323748,-20.3937047959727,-16.09334529237098,-24.9057080773447
1.000556248033319,-20.39551175423579,-16.61751369343781,-26.07368139846249
1.080727294079313,-20.39140198638307,-17.01032043290413,-26.61437626862229
1.167322163510292,-20.39464420454039,-17.43017156411629,-27.71883016772215
1.260855574655586,-20.40456496534676,-17.93410428435602,-28.53978323418358
1.361883488410311,-20.39333369873742,-18.37971566963894,-29.4537736436086
1.471006412856819,-20.39955015756385,-18.83248465623466,-29.97342214023962
1.588872972673824,-20.40114409053523,-19.25457215397115,-31.03310707603831
1.716183764549691,-20.40065205057389,-19.58837843662003,-31.52226197021011
1.85369552151642,-20.40671464677187,-20.06107053743855,-31.89318174870445
2.002225610957026,-20.40301410558363,-20.55366809407515,-32.41916511116247
2.162656893022399,-20.409351554376,-20.98851262335752,-32.08674536743263
2.33594296833599,-20.41317110040574,-21.33837082597657,-32.34653953722454
2.523113846178575,-20.40751975120709,-21.81870692074632,-32.69254699741096
2.725282066844699,-20.40774040885554,-22.10571399864894,-33.05695905012708
2.943649314561941,-20.405062378927,-22.48846681533514,-32.66819829848951
3.179513560280136,-20.4133248306636,-22.93766212938316,-32.88419685623958
3.434276776787071,-20.41707260003277,-23.14429140433059,-31.83237694231335
3.709453272009273,-20.41770536626629,-23.48436179638836,-31.86983483536549
4.006678690030765,-20.41723411350464,-23.88760070221452,-31.62776732993558
4.327719733331774,-20.40965838345269,-24.22298465508785,-31.57039056161281
4.674484664036142,-20.41918631496547,-24.33294416099555,-29.76035543385701
5.049034646586708,-20.42415122170508,-24.76218304063704,-29.18771548841307
5.453595999269237,-20.41672904302502,-24.9807064706737,-28.70390990677605
5.890573427407896,-20.41977201107419,-25.38762643795366,-27.06897669465214
6.362564316889904,-20.41844062069709,-25.4464569326594,-25.8768241030816
6.872374172980062,-20.41875112840226,-25.90093170011465,-25.7541423115012
7.423033296193036,-20.42256757895635,-26.00054547273785,-24.70900777463766
8.017814794344474,-20.42509654382368,-26.40324316078651,-23.27393050410581
8.660254037844389,-20.42907843175472,-26.44015373096394,-22.08766053982309
9.354169673874583,-20.41852215914538,-26.49818944780006,-21.29726195197919
10.10368632435805,-20.41495588201695,-26.63890808808226,-20.46860346160209
10.9132591026367,-20.42309869397204,-26.80653929635887,-18.70403966407078
11.78770009458402,-20.419516432546,-27.11999428041933,-17.72124345398377
12.73220696155607,-20.42131189594933,-27.0817032837158,-17.13004121362812
13.75239383519603,-20.42117648496721,-27.39889782585709,-16.48186866855745
14.8543246877306,-20.42113898653878,-27.4845637382943,-15.3816842435821
16.04454937611068,-20.4296923879259,-27.48982615010716,-14.59229414457593
17.33014257424196,-20.43151880595788,-27.56027132240803,-13.69970241277763
18.71874582471802,-20.42808723889114,-27.55046861875484,-12.14017448301223
20.21861296001051,-20.42000124294799,-27.54480071726405,-13.46821784722586
21.83865916309928,-20.41824219822844,-27.62038227060649,-10.88638096377849
23.58851395915798,-20.43299167965488,-27.79042079195241,-9.864641441383043
25.4785784532765,-20.41873297276288,-27.90767777377697,-8.486575618222361
27.52008715444059,-20.42253294665608,-28.02606869731902,-8.464962072499247
29.72517475324888,-20.42679362973559,-27.87878184927397,-7.399046478138075
32.10694825029326,-20.41600404566253,-27.93693636598402,-7.224698618959351
34.67956486393204,-20.41695441766108,-27.76621391514222,-7.31274501697809
37.45831618053845,-20.43443094869897,-28.07976251680943,-5.732501534444076
40.4597190474119,-20.41586253036861,-27.93661871750153,-6.139917200765538
43.70161374861815,-20.4228648582232,-28.01604609789603,-5.084446184202363
47.20327004731335,-20.41881040562973,-28.33350467995049,-4.263662237326514
50.98550172486583,-20.45425736657042,-28.95311639504405,7.262545915651735
55.07079029759402,-20.23498107202543,-23.84935251076047,-16.12491829093875
59.48341864649086,-20.16627415130131,-23.07755518118728,-9.003108653986626
64.24961535422672,-20.70856192031529,-41.40286665146252,26.1178587012616
69.39771060736797,-20.5463751461272,-29.99494160524571,-34.16448798582904
74.95830459049063,-20.44212098610841,-28.46648198261606,3.733658274616772
80.9644493731213,-20.41985020647264,-28.3230683853046,-2.590430375187459
87.45184537063737,-20.42030097702026,-28.27140046873286,-2.916576992102719
94.45905354688684,-20.42856057187703,-28.41173912088009,-1.610575669919911
102.0277246198561,-20.44943303092447,-28.69744816762584,-1.87947229706063
110.2028466327807,-20.47999937198913,-29.79553257474292,13.86704950028378
119.0330123622561,-20.5345347785141,-30.83180476550951,-7.307722410135888
128.5707081528181,-20.33524670304034,-25.97640969434469,-0.6868566483539098
138.8726258948203,-20.40096302872767,-27.46035965867583,-10.03720026088934
150,-20.45219508432814,-28.88307926960331,1.275192610830942
