#Digilent WaveForms Logger
#Device Name: Discovery3
#Serial Number: SN:210415BB05B2
#Date Time: 2026-03-11 13:04:10.531

Time (s),C1 DC (V),C2 DC (V)
0,4.93212039162243,4.891221549674032
0.2,4.932362537260063,4.891141467611814
0.4,4.930968399323164,4.891463205927227
0.6000000000000001,4.930434326096886,4.891199669329183
0.8,4.930245612113164,4.891317434207465
1,4.930465616218485,4.890154275075018
1.2,4.926960781961275,4.890427682139685
1.4,4.932183799131638,4.891245423561403
1.6,4.933207516531214,4.89077878874014
1.8,4.930511164513703,4.888300718127828
2,4.931926616717031,4.890115814291
2.2,4.932633004594204,4.890409010912084
2.4,4.933198367941964,4.890866212873604
2.6,4.928274188464759,4.889584899878871
2.8,4.928978678496355,4.888149646502408
3,4.928958532134998,4.888338498189963
3.2,4.928278860084831,4.888980078524049
3.4,4.933126055157076,4.891164417662471
3.6,4.926036774451519,4.888914729227426
3.8,4.930410481369708,4.890940995029976
4,4.929454794436704,4.891877911396666
4.2,4.928086350409812,4.891169960683157
4.4,4.929436156619318,4.891459413334127
4.600000000000001,4.930011641810562,4.891094206066976
4.800000000000001,4.934747107304124,4.891184061349868
5,4.948368529365211,4.891450223589277
5.2,4.978530016757524,4.892123506111967
5.4,5.016062347287298,4.891404858340947
5.600000000000001,5.066495891791485,4.892528486983687
5.800000000000001,4.921585255862484,4.893537511242395
6,4.657350349527944,4.884544008785174
6.2,4.756774248589339,4.886572754360162
6.4,4.735589717029545,4.884987353194941
6.600000000000001,4.725322031515647,4.883034702597048
6.800000000000001,4.739706095544983,4.884274345690577
7,4.702820346423811,4.883536978068975
7.2,4.746103684511403,4.891222327641874
7.4,4.77066745187765,4.889362692821112
7.600000000000001,4.748454969262632,4.888032562345904
7.800000000000001,4.794707949138926,4.893612342021881
8,4.773143118511946,4.887726383386874
8.200000000000001,4.737307997268113,4.885501200938101
8.4,4.749929352006048,4.888447267815383
8.6,4.71233429524517,4.884640039187574
8.800000000000001,4.719162889821125,4.886751832827062
9,4.724498804475295,4.886168113849295
9.200000000000001,4.691295995124549,4.882960260801571
9.4,4.720452646248233,4.885818320069535
9.600000000000001,4.705486868200997,4.883118528629349
9.800000000000001,4.681139941863968,4.880242527478615
10,4.681020815553507,4.883466231620608
10.2,4.666044721012006,4.879962361818487
10.4,4.671498448083566,4.877872254031936
10.6,4.658209003020104,4.877524259302787
10.8,4.656034217912752,4.878090862988502
11,4.68157557043087,4.882954669157896
11.2,4.700880845512234,4.883080067845407
11.4,4.671318931351779,4.880334181812076
11.6,4.657587628894777,4.880341426637339
11.8,4.637975243459851,4.880650231237762
12,4.666458937987167,4.881903683259999
12.2,4.685298218971485,4.883104768323627
12.4,4.684459468527113,4.881860408800192
12.6,4.636388449859759,4.881848982397839
12.8,4.67624496001192,4.884691190571567
13,4.688442949185525,4.886163932272269
13.2,4.686394881771189,4.88540988696559
13.4,4.696129759289255,4.88267790710695
13.6,4.694999324569884,4.886901931992728
13.8,4.697417179906449,4.886911996951363
14,4.690802749910762,4.888834258181336
14.2,4.707371915541675,4.886023995311169
14.4,4.678542667121088,4.886363724132304
14.6,4.689492019856201,4.886096540810126
14.8,4.681228264680034,4.884528838412729
15,4.701053452139383,4.884461835934506
15.2,4.682221616549442,4.884418707343637
15.4,4.689483893183916,4.884782407298122
15.6,4.679858458097303,4.885883717989175
15.8,4.697934659149065,4.885037921103023
16,4.683277937963747,4.884476909060935
16.2,4.683017495147621,4.885164146381355
16.4,4.683145429408389,4.884446568316101
16.6,4.692065109232992,4.882440578299741
16.8,4.689833924046445,4.882994977615447
17,4.686391329393421,4.886043541752589
17.2,4.689558103814425,4.886275278916111
17.4,4.697192163542123,4.884123906163963
17.6,4.677178894714212,4.882466251237711
17.8,4.682183708299469,4.884293260033133
18,4.691417116606071,4.887463089903783
18.2,4.686744669320151,4.8875901417729
18.4,4.702979376155284,4.886465881031235
18.6,4.687263413793219,4.884861322408559
18.8,4.688922763491733,4.884223583290538
19,4.684435672462634,4.883966367680973
19.2,4.693984123144293,4.88268150520809
19.4,4.679513926120843,4.884393423389595
19.6,4.685749857569463,4.88465229218069
19.8,4.684036200288236,4.884598855516316
20,4.686435661120917,4.881962808814098
20.2,4.686544519599945,4.884544300523094
20.4,4.695509601731626,4.884745794187729
20.6,4.689345885742461,4.884109367890376
20.8,4.679837338481768,4.884586797015066
21,4.682646247344133,4.885154275914667
21.2,4.693906165485231,4.8866258506636
21.4,4.700851355910844,4.889211086342738
21.6,4.686561210908926,4.885613811779623
21.8,4.683423731438532,4.882016245478566
22,4.699826762582516,4.883357170257221
22.2,4.696792058752512,4.884542744587471
22.4,4.69176417904338,4.884395222440149
22.6,4.661039080160716,4.881149151723415
22.8,4.680680371244568,4.881768948958683
23,4.654156859279974,4.883109387507472
23.2,4.652239889202391,4.884426341152818
23.4,4.647613720152275,4.884638774989862
23.6,4.647391818201388,4.884949378640846
23.8,4.646218900937424,4.884059869688012
24,4.646011889775275,4.883862508977384
24.2,4.646414476363062,4.883974244605123
24.4,4.646417152812035,4.885099720921473
24.6,4.646011987100744,4.885060044562831
24.8,4.646779738653372,4.88562368224631
25,4.646496375701552,4.884167666853655
25.2,4.644796587292199,4.882420788743413
25.4,4.64862025961577,4.883107004981049
25.6,4.645751446959199,4.882854457178453
25.8,4.644551424566594,4.881644425484969
26,4.646021233015322,4.881794378781699
26.2,4.646714238647659,4.882102599906219
26.4,4.639949489545336,4.881275231132774
26.6,4.647719464218005,4.884142237030638
26.8,4.660708417056184,4.884887578822372
27,4.665628898167569,4.884861127916576
27.2,4.642092643892117,4.884680931120962
27.4,4.640817340289432,4.88709511112631
27.6,4.677042103840515,4.88480710777629
27.8,4.69213902788725,4.884190908642213
28,4.634587491679339,4.883022109242998
28.2,4.675202750783074,4.884270164113541
28.4,4.61879435026147,4.883382162473344
28.6,4.638207607893108,4.882212974090263
28.8,4.645420832517345,4.882293931366232
29,4.66849255257705,4.885075555296168
29.2,4.687236551978073,4.885051438293854
29.4,4.675730449194498,4.885493129522002
29.6,4.681912316373951,4.884749149173934
29.8,4.682116797075242,4.884366486253908
30,4.658603122296613,4.883954163310864
30.2,4.659867184813681,4.883086194341955
30.4,4.688291559499214,4.882431534423913
30.6,4.64423584690168,4.883479894680329
30.8,4.633540221528875,4.883232306422615
31,4.624924488981748,4.883098641826984
31.2,4.607151894568609,4.882062923547542
31.4,4.559361951705754,4.884112625630615
31.6,4.484480846383225,4.886612916948671
31.8,4.72159120764,4.888743090077794
32,4.915537065143221,4.891433400035192
32.2,4.924571150995618,4.888236973389806
32.4,4.926281450550005,4.888896155245796
32.6,4.926704426812627,4.888432048819944
32.8,4.927107694678324,4.887715637706407
33,4.926914260411815,4.887536559239517
33.2,4.927539868192842,4.88933682539119
33.4,4.929843852791419,4.891120073496899
33.6,4.931268258933097,4.890632384921576
33.8,4.929308757648285,4.890808351517188
34,4.929082768029854,4.888861341186027
34.2,4.926933530844454,4.889394249140672
34.4,4.931276872232537,4.89093851525757
34.6,4.931421400476868,4.892708294795442
34.8,4.929968477987955,4.890370793243115
35,4.928101192535864,4.888921293330903
35.2,4.930745864756962,4.891123136745175
35.4,4.931510307245439,4.891862011679426
