#Digilent WaveForms Logger
#Device Name: Discovery3
#Serial Number: SN:210415BB05B2
#Date Time: 2026-03-11 12:57:46.353

Time (s),C1 DC (V),C2 DC (V)
0,7.202166108701485,7.486417453507975
0.2,7.206059757999964,7.486825400382048
0.4,7.206673443417346,7.486334308197537
0.6000000000000001,7.207096808981568,7.48709885606978
0.8,7.203936458038174,7.486412931570066
1,7.205080907617637,7.486735253361231
1.2,7.210237451528136,7.489859085884728
1.4,7.211102966462096,7.490684412492667
1.6,7.20909937676338,7.490093351443615
1.8,7.2091658013606,7.489141799557399
2,7.209107357447689,7.489078589672226
2.2,7.207479881823248,7.489388074994461
2.4,7.209563035050443,7.490413825561277
2.6,7.21062509866421,7.488029548693923
2.8,7.212251552371729,7.486850684336076
3,7.206547844966527,7.487499655364509
3.2,7.20285896834568,7.486078162293818
3.4,7.209800168429197,7.486903391655693
3.6,7.209459432143875,7.4870040412421
3.8,7.208503696548253,7.486738316609533
4,7.204789174679949,7.486561037193196
4.2,7.204769952910088,7.486737538641727
4.4,7.207928454670575,7.487959628836365
4.600000000000001,7.210899361689716,7.490177226098912
4.800000000000001,7.212951711422291,7.490293921271462
5,7.211070605760926,7.489059383591792
5.2,7.202939991755365,7.48646982046666
5.4,7.209804937374637,7.490026154473467
5.600000000000001,7.214725369823092,7.490593341635022
5.800000000000001,7.21116072909709,7.490237032374852
6,7.182782583984498,7.489364881828928
6.2,7.171252344497382,7.487997603390465
6.4,7.232572807481929,7.490183838825411
6.600000000000001,7.319056659726839,7.486187515395054
6.800000000000001,7.18334814198304,7.484498255526266
7,6.968541749233379,7.484155171718841
7.2,7.042751649816874,7.486620357239247
7.4,7.631787166861077,7.491529091049943
7.600000000000001,7.838909425956074,7.48809538422049
7.800000000000001,7.010993636282928,7.484450459128456
8,6.917844647499683,7.482303608314255
8.200000000000001,6.938207752539177,7.483260411483267
8.4,6.937617619872692,7.485191473474189
8.6,6.926752064321985,7.485380811391718
8.800000000000001,6.941330681859736,7.485058295108554
9,6.921157507371782,7.486193301530676
9.200000000000001,6.948087547603696,7.485411735612455
9.4,6.925256902601737,7.486052003125923
9.600000000000001,6.922047596973933,7.486088907974229
9.800000000000001,6.945426476049678,7.487094236885853
10,6.915977654023895,7.483841553442674
10.2,6.953926731989599,7.482701490229707
10.4,6.921700534536163,7.484133048259105
10.6,6.939430354428624,7.486280871533125
10.8,6.932276109007041,7.485850460838279
11,6.932394213400897,7.48689293771316
11.2,6.948488674309939,7.48529309552032
11.4,6.91285759580302,7.486135877781197
11.6,6.951907764874703,7.485256142049043
11.8,6.912599099495329,7.485860088190011
12,6.939561500428161,7.485781173079594
12.2,6.94910708001023,7.485043173359104
12.4,6.917647417541925,7.486065909300646
12.6,6.949384749425157,7.485104243832764
12.8,6.922006768961113,7.484940384361263
13,6.934051908567119,7.485423745490609
13.2,6.937763656661,7.485748303939327
13.4,6.919696166234294,7.485701334132353
13.6,6.945458739425336,7.484748907032318
13.8,6.928717794433202,7.485941094088926
